Seed,n,m,eps,Iterationen,Zeit [s],Marginalfehler,Kosten,Kostendifferenz
0,128,128,0.09,33616,0.5354354381561279,9.999812264523122e-08,2.2498697422577427,3.903635953683704e-05
1,128,128,0.09,35382,0.5738515853881836,9.997613110643289e-08,1.8849717913452728,4.6567049178714015e-05
2,128,128,0.09,38522,0.6507847309112549,9.994802769273947e-08,2.0136621687321488,0.0001110807807065406
3,128,128,0.09,10549,0.17956829071044922,9.996160385723762e-08,4.394632437318565,3.202498568377621e-05
4,128,128,0.09,21471,0.3459749221801758,9.998343125476594e-08,2.587097831740266,6.288110446295292e-05
5,128,128,0.09,28544,0.48564767837524414,9.996403119681696e-08,2.6284835012431262,0.0001166325192651918
6,128,128,0.09,4377,0.07083296775817871,9.837360301183373e-08,6.348518285744012,9.863447775870782e-05
7,128,128,0.09,88779,1.4397118091583252,9.999940522691098e-08,2.1817882672078084,1.1889209868165551e-05
8,128,128,0.09,43854,0.7879993915557861,9.997643619572005e-08,1.575716347463007,5.911347489839791e-05
9,128,128,0.09,21019,0.35607385635375977,9.999093108364887e-08,4.396941721818111,0.00014626564008146659
0,128,128,0.095,33163,0.5931675434112549,9.998979878800274e-08,2.2498697471467413,3.90314705382977e-05
1,128,128,0.095,33781,0.5790078639984131,9.99962191973458e-08,1.8849717799256809,4.657846877065275e-05
2,128,128,0.095,36317,0.686363697052002,9.999817814597411e-08,2.013662412581783,0.00011083693107227788
3,128,128,0.095,10133,0.17087030410766602,9.988885152009686e-08,4.3946324628496525,3.199945459630982e-05
4,128,128,0.095,20569,0.355959415435791,9.998581540146545e-08,2.5870978312449324,6.288159979650487e-05
5,128,128,0.095,27182,0.45016956329345703,9.997913593198793e-08,2.6284834854356482,0.00011664832674318504
6,128,128,0.095,4162,0.07248473167419434,9.959217425921374e-08,6.348517207910991,9.971231077976483e-05
7,128,128,0.095,86747,1.4250454902648926,9.999980781286166e-08,2.1817882909165274,1.1865501149177504e-05
8,128,128,0.095,41690,0.7158808708190918,9.99612266364136e-08,1.5757163584405793,5.9102497325991266e-05
9,128,128,0.095,20187,0.3307304382324219,9.998718797366024e-08,4.396941727923772,0.0001462595344206008
0,128,128,0.1,32754,0.5830862522125244,9.999277891629965e-08,2.249869750486079,3.9028131200602445e-05
1,128,128,0.1,32343,0.5320131778717041,9.995960007988525e-08,1.8849717923680283,4.656602642327812e-05
2,128,128,0.1,34357,0.5820274353027344,9.995863706029062e-08,2.01366283380417,0.00011041570868508543
3,128,128,0.1,9759,0.19974303245544434,9.990672970514036e-08,4.394632460607372,3.200169687644916e-05
4,128,128,0.1,19758,0.3178396224975586,9.992334484149046e-08,2.5870978732642262,6.283958050268268e-05
5,128,128,0.1,25957,0.4635646343231201,9.996511373018546e-08,2.628483507208993,0.00011662655339828021
6,128,128,0.1,3969,0.06756329536437988,9.995396416627444e-08,6.348516936919837,9.998330193372595e-05
7,128,128,0.1,83811,1.545882225036621,9.999804455838868e-08,2.181788352785726,1.1803631950524363e-05
8,128,128,0.1,39745,0.6930756568908691,9.998033146177421e-08,1.5757163533263787,5.9107611526609816e-05
9,128,128,0.1,19439,0.3814694881439209,9.992193494151591e-08,4.39694182486112,0.00014616259707267432
0,128,128,0.12,31444,0.6111652851104736,9.999635881483004e-08,2.2498699357142438,3.8842903035796184e-05
1,128,128,0.12,27768,0.4722878932952881,9.996677445903157e-08,1.8849716062806048,4.67521138467486e-05
2,128,128,0.12,28385,0.5155045986175537,9.998478822312307e-08,2.0136648912372683,0.00010835827558697275
3,128,128,0.12,8580,0.1537032127380371,9.986907296109793e-08,4.394632603839966,3.185846428266359e-05
4,128,128,0.12,17190,0.30848264694213867,9.995436216388154e-08,2.5870979665811165,6.27462636124676e-05
5,128,128,0.12,22082,0.3738059997558594,9.999140092482872e-08,2.628483695775376,0.00011643798701532759
6,128,128,0.12,3360,0.059198856353759766,9.824424855933711e-08,6.348518793101823,9.812711994783285e-05
7,128,128,0.12,57078,0.9720041751861572,9.999848142420997e-08,2.1817898520611925,1.0304356484081012e-05
8,128,128,0.12,33625,0.5911400318145752,9.999953727059252e-08,1.5757166078165867,5.885312131859166e-05
9,128,128,0.12,17070,0.28232741355895996,9.990781360894041e-08,4.396941907110927,0.00014608034726570907
0,128,128,0.14,30387,0.4767906665802002,9.999521382621224e-08,2.249871832498818,3.694611846150053e-05
1,128,128,0.14,24241,0.39570021629333496,9.999961912351973e-08,1.8849718095717765,4.654882267507432e-05
2,128,128,0.14,24424,0.3974177837371826,9.998957223658622e-08,2.0136695490568086,0.00010370045604668476
3,128,128,0.14,7742,0.14143013954162598,9.983035911993732e-08,4.394633949358186,3.05129460631548e-05
4,128,128,0.14,15359,0.26180481910705566,9.994219589935793e-08,2.5870991226172064,6.15902275225011e-05
5,128,128,0.14,19323,0.35416340827941895,9.99207476117675e-08,2.6284860119338824,0.00011412182850900621
6,128,128,0.14,2925,0.04581880569458008,9.871140885762963e-08,6.348518633036628,9.828718514270918e-05
7,128,128,0.14,34854,0.6114435195922852,9.998072881406417e-08,2.181795636668617,4.519749059461731e-06
8,128,128,0.14,29329,0.5219359397888184,9.999812439730194e-08,1.5757193627021444,5.6098235760915216e-05
9,128,128,0.14,15379,0.27518606185913086,9.999794237450232e-08,4.396942402220478,0.0001455852377141298
0,128,128,0.16,29049,0.49873995780944824,9.999267058281858e-08,2.249882113104844,2.6665512435464223e-05
1,128,128,0.16,21368,0.44101667404174805,9.994784369755927e-08,1.884991546814267,2.6811580184471495e-05
2,128,128,0.16,21598,0.39504361152648926,9.99887499551072e-08,2.0136882957441706,8.49537686846702e-05
3,128,128,0.16,7110,0.1340641975402832,9.986503629946797e-08,4.394641219594638,2.3242709611182022e-05
4,128,128,0.16,13987,0.2409822940826416,9.995338018375932e-08,2.5871053953330736,5.531751165532839e-05
5,128,128,0.16,17252,0.3132295608520508,9.997594734544035e-08,2.628498134013644,0.00010199974874725015
6,128,128,0.16,2599,0.0477447509765625,9.97428040664522e-08,6.348519242936983,9.767728478760063e-05
7,128,128,0.16,25120,0.4031984806060791,9.99982043402986e-08,2.1818104997155947,1.0343297918158356e-05
8,128,128,0.16,26171,0.45134854316711426,9.997760363339436e-08,1.5757344882696729,4.0972668232441833e-05
9,128,128,0.16,14113,0.2261362075805664,9.999795737639094e-08,4.396945831131981,0.0001421563262118397
0,128,128,0.18,26743,0.4687464237213135,9.99855693101237e-08,2.249918282028429,9.503411149580643e-06
1,128,128,0.18,19251,0.3140716552734375,9.998786142627336e-08,1.8850748368663814,5.647847192991051e-05
2,128,128,0.18,19430,0.3327298164367676,9.997151548431227e-08,2.013750490966692,2.2758546163181848e-05
3,128,128,0.18,6599,0.12006425857543945,9.979117053006414e-08,4.394667440738544,2.9784342956418186e-06
4,128,128,0.18,12917,0.22310733795166016,9.9902564800608e-08,2.587128120681535,3.2592163194067325e-05
5,128,128,0.18,15613,0.2738502025604248,9.992344482401272e-08,2.6285419101237846,5.8223638606857975e-05
6,128,128,0.18,2347,0.03929281234741211,9.830553008606524e-08,6.348526611098152,9.030912361840393e-05
7,128,128,0.18,20845,0.3653450012207031,9.995511656042677e-08,2.181860247681968,6.009126429162848e-05
8,128,128,0.18,23712,0.4589402675628662,9.997795452978964e-08,1.575788784894701,1.3323956795652236e-05
9,128,128,0.18,13129,0.2484273910522461,9.998738867769696e-08,4.396958246772738,0.0001297406854545713
0,128,128,0.2,23562,0.4100203514099121,9.999143841220304e-08,2.2500118298358545,0.00010305121857490107
1,128,128,0.2,17715,0.31591081619262695,9.99860674047448e-08,1.8852784816938846,0.0002601232994330349
2,128,128,0.2,17687,0.3116164207458496,9.995654112748831e-08,2.0139028980492832,0.00012964853642793983
3,128,128,0.2,6143,0.10055756568908691,9.998729625509961e-08,4.394737481389539,7.301908529022683e-05
4,128,128,0.2,12047,0.20498394966125488,9.99550601298721e-08,2.5871895399337483,2.8827089019412e-05
5,128,128,0.2,14226,0.23933720588684082,9.990916271900019e-08,2.6286579689211504,5.783515875901202e-05
6,128,128,0.2,2145,0.04120445251464844,9.917466190639823e-08,6.3485418453750135,7.507484675706166e-05
7,128,128,0.2,18566,0.2941319942474365,9.997662407668084e-08,2.1820015701655935,0.00020141374791693423
8,128,128,0.2,21708,0.33348584175109863,9.999889678813378e-08,1.5759331465674111,0.00015768562950579934
9,128,128,0.2,12341,0.20469188690185547,9.991287398813942e-08,4.396992003710758,9.598374743458038e-05
0,128,128,0.22,20408,0.3729588985443115,9.999660870868565e-08,2.250207876628311,0.00029909801103134015
1,128,128,0.22,16370,0.27453064918518066,9.995797423979769e-08,1.885666233529414,0.0006478751349625611
2,128,128,0.22,16237,0.2973947525024414,9.994237184368648e-08,2.014201547696837,0.0004282981839818234
3,128,128,0.22,5705,0.0871584415435791,9.997109092461931e-08,4.394887928178975,0.0002234658747264362
4,128,128,0.22,11308,0.19475102424621582,9.996925979215143e-08,2.587324553335806,0.00016384049107687204
5,128,128,0.22,12983,0.2136671543121338,9.992571004500961e-08,2.6289031171729853,0.00030298341059387113
6,128,128,0.22,1981,0.030466556549072266,9.799876587827938e-08,6.348578589228775,3.8330992995661006e-05
7,128,128,0.22,16997,0.30350613594055176,9.999245250379152e-08,2.1822933909131343,0.000493234495457795
8,128,128,0.22,20141,0.32970571517944336,9.996915799857786e-08,1.576242992195092,0.00046753125718668187
9,128,128,0.22,11691,0.19629669189453125,9.990161500134098e-08,4.397066289376912,2.1698081280163706e-05
0,128,128,0.24,17817,0.34180665016174316,9.998063668463508e-08,2.250563520471627,0.0006547418543476624
1,128,128,0.24,15131,0.2305760383605957,9.994476457553247e-08,1.8863257656870585,0.0013074072926069213
2,128,128,0.24,14987,0.24890923500061035,9.993625063597911e-08,2.0147058886473017,0.0009326391344464113
3,128,128,0.24,5281,0.08881926536560059,9.992687953659651e-08,4.395160638336571,0.0004961760323221043
4,128,128,0.24,10651,0.17390012741088867,9.995819897148928e-08,2.587578203681961,0.00041749083723185976
5,128,128,0.24,11852,0.1987450122833252,9.993242664624313e-08,2.6293375119838918,0.0007373782215003288
6,128,128,0.24,1844,0.02803325653076172,9.840217421626385e-08,6.34864565529722,2.8735075449759506e-05
7,128,128,0.24,15709,0.2416388988494873,9.993682977167684e-08,2.1827995746289015,0.0009994182112249561
8,128,128,0.24,18904,0.2830166816711426,9.997649210238824e-08,1.576804932747635,0.0010294718097296762
9,128,128,0.24,11139,0.17270350456237793,9.999612270161773e-08,4.397206820578571,0.00011883312037852534
