Seed,n,m,eps,Iterationen,Zeit [s],Marginalfehler,Kosten,Kostendifferenz
0,128,128,1.0,4118,0.06350159645080566,9.990486797215037e-09,2.494004266519924,0.24409548790264424
1,128,128,1.0,3689,0.05794405937194824,9.974596697215343e-09,2.162589380002413,0.27757102160796165
2,128,128,1.0,3395,0.05283021926879883,9.970385215357647e-09,2.276110267536715,0.2623370180238598
3,128,128,1.0,1512,0.02617478370666504,9.995602564399908e-09,4.560334362879496,0.16566990057524755
4,128,128,1.0,3272,0.05165433883666992,9.981684952545256e-09,2.7921341700491165,0.20497345720438753
5,128,128,1.0,2859,0.04504656791687012,9.988476993433304e-09,2.840886328065821,0.21228619430342954
6,128,128,1.0,708,0.010967254638671875,9.789505832705214e-09,6.428473604185104,0.07985668396333345
7,128,128,1.0,3261,0.05128169059753418,9.990213375304924e-09,2.4340395541604636,0.25223939774278703
8,128,128,1.0,4191,0.06807208061218262,9.975203291850976e-09,1.883098916426619,0.30732345548871365
9,128,128,1.0,3266,0.05255579948425293,9.980678124243969e-09,4.536053716283892,0.13896572882569913
0,128,128,0.9,4693,0.07368850708007812,9.991404625528388e-09,2.4445599168283967,0.19465113821111713
1,128,128,0.9,4193,0.0691077709197998,9.99222334041594e-09,2.109586664861073,0.22456830646662151
2,128,128,0.9,3901,0.0608975887298584,9.991874230785847e-09,2.223441974848596,0.20966872533574055
3,128,128,0.9,1674,0.026674747467041016,9.99085999174587e-09,4.525815036624433,0.13115057432018418
4,128,128,0.9,3678,0.05840492248535156,9.987204802747174e-09,2.749045398690231,0.16188468584550186
5,128,128,0.9,3248,0.050724029541015625,9.969367409726204e-09,2.7979644447152,0.16936431095280868
6,128,128,0.9,763,0.011888980865478516,9.870367722805695e-09,6.410030189784233,0.06141326956246207
7,128,128,0.9,3728,0.05902981758117676,9.984697638132367e-09,2.385310828423262,0.20351067200558548
8,128,128,0.9,4861,0.07657074928283691,9.978508316507706e-09,1.8232073728182454,0.24743191188034008
9,128,128,0.9,3798,0.05952262878417969,9.992399973429711e-09,4.505961887294806,0.10887389983661322
0,128,128,0.8,5416,0.0852820873260498,9.993850769510204e-09,2.3983871161105155,0.1484783374932359
1,128,128,0.8,4826,0.0758199691772461,9.979750730665371e-09,2.059519568855456,0.17450121046100442
2,128,128,0.8,4544,0.07186579704284668,9.997936081460046e-09,2.1742607646060845,0.16048751509322923
3,128,128,0.8,1877,0.029419660568237305,9.935614235859203e-09,4.493896295358969,0.09923183305471994
4,128,128,0.8,4175,0.06627488136291504,9.975051123642387e-09,2.709273779844681,0.12211306699995195
5,128,128,0.8,3741,0.06092643737792969,9.984564945664243e-09,2.7580680654680867,0.12946793170569526
6,128,128,0.8,829,0.013466119766235352,9.974463482595453e-09,6.393540225392724,0.04492330517095322
7,128,128,0.8,4326,0.06841087341308594,9.991472524339962e-09,2.3393784248958047,0.15757826847812817
8,128,128,0.8,5729,0.09003925323486328,9.983141743830082e-09,1.766688881228126,0.19091342029022074
9,128,128,0.8,4489,0.07077622413635254,9.982490264959232e-09,4.478371601265627,0.08128361380743421
0,128,128,0.7,6355,0.1004953384399414,9.986212122850557e-09,2.3561794383079153,0.10627065969063576
1,128,128,0.7,5643,0.08713054656982422,9.980361048017583e-09,2.013001917725073,0.12798355933062133
2,128,128,0.7,5384,0.08346056938171387,9.998995189122728e-09,2.1292767542958706,0.1155035047830153
3,128,128,0.7,2144,0.03312826156616211,9.998380389245054e-09,4.465074912353609,0.0704104500493603
4,128,128,0.7,4796,0.07385015487670898,9.981979947476516e-09,2.673391457573885,0.08623074472915615
5,128,128,0.7,4383,0.06734561920166016,9.977095989655016e-09,2.721760800141913,0.09316066637952147
6,128,128,0.7,911,0.014073848724365234,9.851305306229907e-09,6.379201374359418,0.030584454137647654
7,128,128,0.7,5121,0.07927083969116211,9.982692616983257e-09,2.2967576635804186,0.114957507162742
8,128,128,0.7,6887,0.10511040687561035,9.992741491909873e-09,1.714373374997065,0.13859791405915978
9,128,128,0.7,5401,0.08337926864624023,9.97855908319023e-09,4.453698621218148,0.056610633759955675
0,128,128,0.6,7625,0.12390327453613281,9.99325620171243e-09,2.3189226356233483,0.06901385700606877
1,128,128,0.6,6741,0.10582375526428223,9.985171040699514e-09,1.9709984436479404,0.08598008525348888
2,128,128,0.6,6524,0.10183930397033691,9.995051179073622e-09,2.089492212896168,0.07571896338331285
3,128,128,0.6,2501,0.0389561653137207,9.950041273548704e-09,4.440037982690272,0.045373520386022825
4,128,128,0.6,5598,0.08699560165405273,9.983209902850176e-09,2.6422093125516644,0.05504859970693543
5,128,128,0.6,5242,0.08418416976928711,9.989786763434094e-09,2.6898184839624557,0.061218350200064275
6,128,128,0.6,1014,0.016040325164794922,9.848456871200395e-09,6.367286034628821,0.018669114407050102
7,128,128,0.6,6229,0.09664463996887207,9.999250432865536e-09,2.258303187491084,0.07650303107340761
8,128,128,0.6,8491,0.14136934280395508,9.99157282952079e-09,1.6674708441135133,0.09169538317560799
9,128,128,0.6,6609,0.10286092758178711,9.997874583778099e-09,4.432541221989021,0.03545323453082805
0,128,128,0.5,9451,0.14684677124023438,9.994338662222546e-09,2.288042145759153,0.03813336714187354
1,128,128,0.5,8298,0.12963128089904785,9.995094078785183e-09,1.9350446508566814,0.05002629246222989
2,128,128,0.5,8153,0.12647438049316406,9.989173191740641e-09,2.056360717926132,0.04258746841327676
3,128,128,0.5,2996,0.046095848083496094,9.96535478442473e-09,4.419709014119045,0.025044551814795923
4,128,128,0.5,6681,0.10237622261047363,9.994146708131035e-09,2.6168944602361583,0.02973374739142942
5,128,128,0.5,6439,0.09926915168762207,9.983771743354852e-09,2.663325387075575,0.03472525331318366
6,128,128,0.5,1149,0.017676830291748047,9.988274735084346e-09,6.358145800152795,0.00952887993102447
7,128,128,0.5,7884,0.12142181396484375,9.983816464526063e-09,2.2254841978933113,0.04368404147563476
8,128,128,0.5,10816,0.1673750877380371,9.999022774695443e-09,1.6277994160937128,0.05202395515580749
9,128,128,0.5,8168,0.12615036964416504,9.996860644845285e-09,4.415720739571981,0.018632752113788342
0,128,128,0.4,12327,0.19550633430480957,9.993497571136878e-09,2.265504495823806,0.015595717206526416
1,128,128,0.4,10682,0.1645975112915039,9.998955424056488e-09,1.907426935590117,0.02240857719566547
2,128,128,0.4,10628,0.1667783260345459,9.99095954405671e-09,2.0319046284254707,0.018131378912615403
3,128,128,0.4,3721,0.0583643913269043,9.977162864979738e-09,4.405159962205628,0.010495499901379546
4,128,128,0.4,8243,0.12984991073608398,9.988959040127532e-09,2.5989728470413227,0.011812134196593771
5,128,128,0.4,8201,0.1284804344177246,9.988715169231832e-09,2.6437206746506035,0.01512054088821202
6,128,128,0.4,1341,0.021094322204589844,9.823711873482854e-09,6.352134436718239,0.0035175164964682537
7,128,128,0.4,10577,0.16570115089416504,9.988436187532979e-09,2.2006310752025158,0.018830918784839223
8,128,128,0.4,14373,0.22513270378112793,9.994086254752621e-09,1.5979789955784154,0.02220353464051006
9,128,128,0.4,10022,0.17142796516418457,9.995388034617081e-09,4.404191812528019,0.0071038250698265415
0,128,128,0.3,17663,0.27466583251953125,9.995586630964781e-09,2.253249051099291,0.0033402724820112972
1,128,128,0.3,14834,0.23146295547485352,9.995321747363617e-09,1.8907377768876346,0.005719418493183026
2,128,128,0.3,14534,0.2277383804321289,9.99785323974045e-09,2.0181147876726007,0.004341538159745362
3,128,128,0.3,4915,0.0771949291229248,9.969638883541854e-09,4.397112830586735,0.0024483682824865127
4,128,128,0.3,10628,0.1669454574584961,9.988142245578868e-09,2.58960244302625,0.0024417301815211623
5,128,128,0.3,11132,0.1810474395751953,9.992677976744524e-09,2.6323526440281384,0.0037525102657469667
6,128,128,0.3,1646,0.025794029235839844,9.795378294943924e-09,6.349278436921116,0.0006615166993455546
7,128,128,0.3,15240,0.23778653144836426,9.99235667473175e-09,2.1863237078733286,0.004523551455652086
8,128,128,0.3,19882,0.3146669864654541,9.998973466915362e-09,1.5808786057090654,0.005103144771160029
9,128,128,0.3,12018,0.18819952011108398,9.995069372853438e-09,4.398464395973362,0.0013764085151697358
0,128,128,0.2,35442,0.5604410171508789,9.998917112688521e-09,2.2500460563004063,0.00013727768312676858
1,128,128,0.2,21422,0.33243513107299805,9.994018628292634e-09,1.8853519838624122,0.00033362546796067427
2,128,128,0.2,20788,0.32470202445983887,9.994432949647636e-09,2.0139917703694366,0.0002185208565812502
3,128,128,0.2,7131,0.1100013256072998,9.994465217239012e-09,4.394766914500186,0.00010245219593763011
4,128,128,0.2,13971,0.219451904296875,9.99650622002246e-09,2.587246288089837,8.557524510788284e-05
5,128,128,0.2,16747,0.26320886611938477,9.994541355987097e-09,2.6287654076730096,0.00016527391061815777
6,128,128,0.2,2248,0.035706520080566406,9.844562802105439e-09,6.348631092407559,1.4172185788474678e-05
7,128,128,0.2,22360,0.3445136547088623,9.999591356335547e-09,2.182067678933713,0.0002675225160362338
8,128,128,0.2,27311,0.43033289909362793,9.996638261969282e-09,1.5759913320911583,0.00021587115325294448
9,128,128,0.2,14603,0.2402815818786621,9.992128333080608e-09,4.3971235512704965,3.556381230396255e-05
0,128,128,0.1,51874,0.8751263618469238,9.999644954086784e-09,2.249904857962527,3.920654752409547e-06
1,128,128,0.1,36312,0.5912876129150391,9.99995150054167e-09,1.885013849006179,4.509388272566639e-06
2,128,128,0.1,37651,0.6122555732727051,9.993869905244868e-09,2.0137625980550933,1.0651457762023142e-05
3,128,128,0.1,10801,0.17786002159118652,9.97914375786002e-09,4.394661272040382,3.1902638664149663e-06
4,128,128,0.1,21699,0.3773224353790283,9.991656637481361e-09,2.5871544349574895,6.277887239392044e-06
5,128,128,0.1,28569,0.47193050384521484,9.992548644435773e-09,2.6285885721853157,1.1561577075713814e-05
6,128,128,0.1,4072,0.0671846866607666,9.954612172763389e-09,6.348606963287085,9.956934685639851e-06
7,128,128,0.1,100000,1.639045238494873,5.967216007776721e-08,2.1817932313278083,6.92508986821494e-06
8,128,128,0.1,45673,0.7572309970855713,9.996997932595897e-09,1.5757694861815987,5.97475630659261e-06
