Seed,n,m,eps,tol,Iterationen,Zeit [s],Marginalfehler,Kosten,Kostendifferenz
0,128,128,1.0,1e-05,1267,0.021385669708251953,9.981270585423044e-06,2.491820274081376,0.2419114954640964
1,128,128,1.0,1e-05,1428,0.025249481201171875,9.9838941756622e-06,2.1555246547360527,0.27050629634160117
2,128,128,1.0,1e-05,1503,0.02771472930908203,9.984669818085753e-06,2.2661115888295336,0.25233833931667826
3,128,128,1.0,1e-05,807,0.019733428955078125,9.98130767365657e-06,4.5526661271423645,0.15800166483811573
4,128,128,1.0,1e-05,1504,0.02447199821472168,9.971523485205816e-06,2.7834626559973055,0.19630194315257654
5,128,128,1.0,1e-05,1336,0.022434473037719727,9.993151006689599e-06,2.8288373005415823,0.2002371667791909
6,128,128,1.0,1e-05,465,0.008453130722045898,9.762069732913853e-06,6.417982996498649,0.06936607627687863
7,128,128,1.0,1e-05,1477,0.029184579849243164,9.969694348691688e-06,2.4235843156779238,0.2417841592602472
8,128,128,1.0,1e-05,1564,0.030817747116088867,9.978399470004715e-06,1.8770378144508084,0.3012623535129031
9,128,128,1.0,1e-05,1428,0.02454829216003418,9.975691516714291e-06,4.52185575490312,0.12476776744492746
0,128,128,0.9,1e-05,1421,0.026980876922607422,9.979548703362498e-06,2.4424378044694226,0.19252902585214304
1,128,128,0.9,1e-05,1631,0.026117801666259766,9.978375390466004e-06,2.1024448643827736,0.21742650598832203
2,128,128,0.9,1e-05,1737,0.030448436737060547,9.990235823091609e-06,2.2134208209955775,0.19964757148272216
3,128,128,0.9,1e-05,901,0.017160415649414062,9.989005614288726e-06,4.518020770343656,0.12335630803940756
4,128,128,0.9,1e-05,1709,0.029161930084228516,9.981339128285402e-06,2.740469392714713,0.15330867986998387
5,128,128,0.9,1e-05,1519,0.025210142135620117,9.971875674585906e-06,2.7858084685883497,0.1572083348259583
6,128,128,0.9,1e-05,510,0.00786900520324707,9.82608912795252e-06,6.399623458358278,0.05100653813650702
7,128,128,0.9,1e-05,1694,0.02711629867553711,9.975651765400939e-06,2.3747132369105457,0.19291308049286915
8,128,128,0.9,1e-05,1813,0.028533458709716797,9.979864483618608e-06,1.8169686291283855,0.2411931681904802
9,128,128,0.9,1e-05,1645,0.038692474365234375,9.975267061260867e-06,4.491659163169558,0.09457117571136564
0,128,128,0.8,1e-05,1609,0.03363776206970215,9.997768040143074e-06,2.396310840508545,0.1464020618912656
1,128,128,0.8,1e-05,1886,0.0359344482421875,9.986453124534445e-06,2.0522942580709147,0.16727589967646317
2,128,128,0.8,1e-05,2037,0.05585670471191406,9.975287942479497e-06,2.1642628541420725,0.15048960462921723
3,128,128,0.8,1e-05,1021,0.01751708984375,9.998502464376308e-06,4.486149469658914,0.09148500735466492
4,128,128,0.8,1e-05,1964,0.03550219535827637,9.997591748358084e-06,2.7008263641920562,0.11366565134732731
5,128,128,0.8,1e-05,1750,0.03415632247924805,9.9789649988212e-06,2.7457670035418493,0.1171668697794579
6,128,128,0.8,1e-05,565,0.011428356170654297,9.996040116840368e-06,6.383107062178817,0.03449014195704603
7,128,128,0.8,1e-05,1972,0.03325152397155762,9.997467862293483e-06,2.3286300844034544,0.14682992798577787
8,128,128,0.8,1e-05,2134,0.03405475616455078,9.985361559133876e-06,1.7602658779167943,0.18449041697888902
9,128,128,0.8,1e-05,1920,0.0291292667388916,9.990293659126182e-06,4.463945456413462,0.0668574689552699
0,128,128,0.7,1e-05,1847,0.029563426971435547,9.999008418366817e-06,2.354133663358394,0.10422488474111447
1,128,128,0.7,1e-05,2217,0.0456392765045166,9.98982248373928e-06,2.005696029316332,0.12067767092188042
2,128,128,0.7,1e-05,2430,0.04930830001831055,9.988836366393514e-06,2.1193098572327482,0.10553660771989293
3,128,128,0.7,1e-05,1185,0.021999120712280273,9.992421596709267e-06,4.457929092147726,0.06326462984347714
4,128,128,0.7,1e-05,2291,0.0391845703125,9.977724052000203e-06,2.665152852166183,0.07799213932145399
5,128,128,0.7,1e-05,2052,0.03822588920593262,9.974433997370427e-06,2.709322276260848,0.08072214249845677
6,128,128,0.7,1e-05,636,0.009881258010864258,9.817414120644533e-06,6.369097937147287,0.020481016925516293
7,128,128,0.7,1e-05,2342,0.04319882392883301,9.998409405518813e-06,2.285897984302614,0.10409782788493738
8,128,128,0.7,1e-05,2560,0.04810905456542969,9.993625693541924e-06,1.7077658029698797,0.13199034203197435
9,128,128,0.7,1e-05,2277,0.041718244552612305,9.982102754373112e-06,4.439193150798773,0.042105163340580454
0,128,128,0.6,1e-05,2158,0.03516125679016113,9.995716061667048e-06,2.3168786089885782,0.06696983037129867
1,128,128,0.6,1e-05,2664,0.04322385787963867,9.991203039579066e-06,1.963602740554803,0.07858438216035157
2,128,128,0.6,1e-05,2966,0.04593992233276367,9.981419751401224e-06,2.0796312345795336,0.06585798506667828
3,128,128,0.6,1e-05,1406,0.022190093994140625,9.938627688910531e-06,4.433628931563854,0.038964469259605394
4,128,128,0.6,1e-05,2722,0.05015254020690918,9.9827945435043e-06,2.6342249805135722,0.04706426766884331
5,128,128,0.6,1e-05,2462,0.036324501037597656,9.984676798508937e-06,2.677215737631248,0.04861560386885655
6,128,128,0.6,1e-05,728,0.011304616928100586,9.780470358017324e-06,6.357349895657691,0.008732975435920665
7,128,128,0.6,1e-05,2856,0.047545671463012695,9.997797680426357e-06,2.247373038900266,0.06557288248258963
8,128,128,0.6,1e-05,3147,0.050498247146606445,9.990170278169688e-06,1.6607045977807324,0.0849291368428271
9,128,128,0.6,1e-05,2747,0.04564356803894043,9.992946996155438e-06,4.417953965953428,0.020865978495235638
0,128,128,0.5,1e-05,2583,0.04191255569458008,9.991036214546112e-06,2.2859518659860427,0.03604308736876316
1,128,128,0.5,1e-05,3302,0.05508136749267578,9.996937487294355e-06,1.9275168748019822,0.04249851640753066
2,128,128,0.5,1e-05,3731,0.0632171630859375,9.987673427318614e-06,2.0466713047468468,0.032898055233991474
3,128,128,0.5,1e-05,1713,0.03042912483215332,9.994752589502151e-06,4.414047141327449,0.019382679023200566
4,128,128,0.5,1e-05,3318,0.0514066219329834,9.995456244579065e-06,2.609247054865325,0.022086342020596117
5,128,128,0.5,1e-05,3051,0.06099963188171387,9.989850829025468e-06,2.6505656797664168,0.021965546004025338
6,128,128,0.5,1e-05,853,0.013437032699584961,9.91660273451725e-06,6.348178487796156,0.0004384324256143657
7,128,128,0.5,1e-05,3614,0.06087017059326172,9.990977901169415e-06,2.2145880668448603,0.032787910427183764
8,128,128,0.5,1e-05,3990,0.06726217269897461,9.99756212313567e-06,1.620928504068648,0.045153043130742754
9,128,128,0.5,1e-05,3379,0.053618431091308594,9.997213836744623e-06,4.401108185589623,0.004020198131430064
0,128,128,0.4,1e-05,3192,0.05180692672729492,9.997334768098096e-06,2.263282546930377,0.013373768313097223
1,128,128,0.4,1e-05,4293,0.06834554672241211,9.999487967451287e-06,1.8996610600146304,0.014642701620178888
2,128,128,0.4,1e-05,4906,0.07288074493408203,9.991352390449279e-06,2.0224879081287,0.008714658615844861
3,128,128,0.4,1e-05,2167,0.03364872932434082,9.979106960369619e-06,4.400314125928433,0.005649663624184065
4,128,128,0.4,1e-05,4198,0.0680239200592041,9.992207321354862e-06,2.5917762549039374,0.004615542059208444
5,128,128,0.4,1e-05,3961,0.06201529502868652,9.99225395132905e-06,2.6308539702957807,0.0022538365333892862
6,128,128,0.4,1e-05,1037,0.019672155380249023,9.88870958062299e-06,6.342265761012961,0.006351159208809243
7,128,128,0.4,1e-05,4818,0.09244084358215332,9.989923084314026e-06,2.1899920347696176,0.008191878351941018
8,128,128,0.4,1e-05,5262,0.08448266983032227,9.993908688289352e-06,1.591157576621212,0.015382115683306719
9,128,128,0.4,1e-05,4251,0.06991958618164062,9.992357374411648e-06,4.389630675658071,0.0074573118001213246
0,128,128,0.3,1e-05,4089,0.07121849060058594,9.995916071474376e-06,2.250798997500116,0.0008902188828363577
1,128,128,0.3,1e-05,6113,0.11682820320129395,9.993992374531316e-06,1.8828612586043882,0.0021570997900632882
2,128,128,0.3,1e-05,6936,0.12070775032043457,9.99208428282064e-06,2.008940348055907,0.0048329014569481465
3,128,128,0.3,1e-05,2894,0.04508686065673828,9.967424999096294e-06,4.393063985842133,0.0016004764621158074
4,128,128,0.3,1e-05,5613,0.08282017707824707,9.987004634755617e-06,2.5828970090154177,0.004263703829311183
5,128,128,0.3,1e-05,5538,0.10582232475280762,9.999705420727159e-06,2.619574017425035,0.009026116337356616
6,128,128,0.3,1e-05,1338,0.02109384536743164,9.916002124684548e-06,6.3394150320080485,0.009201888213722142
7,128,128,0.3,1e-05,6899,0.13118720054626465,9.992689026003254e-06,2.176405874694148,0.005394281723528405
8,128,128,0.3,1e-05,7209,0.11056399345397949,9.998362623062432e-06,1.5742856080781205,0.0014898528597848681
9,128,128,0.3,1e-05,5540,0.10599994659423828,9.989209875948396e-06,4.383982991751167,0.013104995707025502
0,128,128,0.2,1e-05,5512,0.09476351737976074,9.995373851805905e-06,2.2475201844465826,0.0023885941706969227
1,128,128,0.2,1e-05,10239,0.16312956809997559,9.99558492720612e-06,1.8773458096027587,0.007672548791692879
2,128,128,0.2,1e-05,11350,0.184844970703125,9.994679120241962e-06,2.0044610580325255,0.009312191480329801
3,128,128,0.2,1e-05,4197,0.06378936767578125,9.977716728981276e-06,4.39131634549439,0.003348116809858581
4,128,128,0.2,1e-05,8224,0.12729167938232422,9.995686436047382e-06,2.580783581665508,0.006377131179220896
5,128,128,0.2,1e-05,9113,0.16158223152160645,9.996706604701797e-06,2.61683463347723,0.011765500285161323
6,128,128,0.2,1e-05,1939,0.03649568557739258,9.994648789755575e-06,6.338696829770333,0.009920090451437602
7,128,128,0.2,1e-05,11101,0.23437047004699707,9.996219575812357e-06,2.1745021460634986,0.007298010354177986
8,128,128,0.2,1e-05,10797,0.21223068237304688,9.999567221493852e-06,1.5703651382819617,0.005410322655943656
9,128,128,0.2,1e-05,7915,0.13356232643127441,9.998245424129582e-06,4.382659242219749,0.014428745238443952
0,128,128,0.1,1e-05,9420,0.1646273136138916,9.997599100914148e-06,2.247389211926865,0.002519566690414532
1,128,128,0.1,1e-05,23645,0.4271817207336426,9.997535487565185e-06,1.8774029253351072,0.007615433059344312
2,128,128,0.1,1e-05,28297,0.4703505039215088,9.999125148331053e-06,2.008118647948115,0.0056546015647405135
3,128,128,0.1,1e-05,7714,0.1336817741394043,9.983481991418866e-06,4.391197557215191,0.003466905089057448
4,128,128,0.1,1e-05,15904,0.29904866218566895,9.99586995313953e-06,2.5807046076830424,0.006456105161686487
5,128,128,0.1,1e-05,20660,0.34659624099731445,9.999057815701998e-06,2.616878577237947,0.011721556524444399
6,128,128,0.1,1e-05,3764,0.06839632987976074,9.787428878573964e-06,6.33886651601222,0.009750404209550645
7,128,128,0.1,1e-05,22920,0.3784041404724121,9.998483572198555e-06,2.176539751535683,0.00526040488199353
8,128,128,0.1,1e-05,28066,0.5707449913024902,9.998719447786714e-06,1.572817439124789,0.0029580218131162184
9,128,128,0.1,1e-05,15008,0.2973668575286865,9.994610659556924e-06,4.382615553337063,0.014472434121129751
0,128,128,0.09,1e-05,10282,0.18343710899353027,9.997640050236206e-06,2.2473892019793116,0.0025195766379679796
1,128,128,0.09,1e-05,26681,0.5291182994842529,9.998730485617086e-06,1.8773963059056307,0.007622052488820863
2,128,128,0.09,1e-05,32581,0.5700030326843262,9.999170236807409e-06,2.0086086088957593,0.0051646406170959835
3,128,128,0.09,1e-05,8503,0.16219210624694824,9.995508711280188e-06,4.391157470414634,0.0035069918896146746
4,128,128,0.09,1e-05,17618,0.31714916229248047,9.989840717764681e-06,2.580708578814815,0.006452134029913736
5,128,128,0.09,1e-05,23247,0.473858118057251,9.998778848689313e-06,2.6168787700458456,0.011721363716545863
6,128,128,0.09,1e-05,4170,0.07212305068969727,9.968867881951157e-06,6.338663799468001,0.009953120753769973
7,128,128,0.09,1e-05,25442,0.4872572422027588,9.998452207379827e-06,2.176540053107613,0.005260103310063435
8,128,128,0.09,1e-05,32179,0.5587878227233887,9.998573761851176e-06,1.572828050834726,0.0029474101031792266
9,128,128,0.09,1e-05,16589,0.3377258777618408,9.990964155600496e-06,4.382620771718517,0.014467215739675687
