Seed,n,m,eps,tol,Iterationen,Zeit [s],Marginalfehler,Kosten,Kostendifferenz
0,128,128,1.0,1e-05,1267,0.02817678451538086,9.981270585423044e-06,2.491820274081376,0.2419114954640964
1,128,128,1.0,1e-05,1428,0.0244748592376709,9.9838941756622e-06,2.1555246547360527,0.27050629634160117
2,128,128,1.0,1e-05,1503,0.03281974792480469,9.984669818085753e-06,2.2661115888295336,0.25233833931667826
3,128,128,1.0,1e-05,807,0.018518924713134766,9.98130767365657e-06,4.5526661271423645,0.15800166483811573
4,128,128,1.0,1e-05,1504,0.02684783935546875,9.971523485205816e-06,2.7834626559973055,0.19630194315257654
5,128,128,1.0,1e-05,1336,0.022524595260620117,9.993151006689599e-06,2.8288373005415823,0.2002371667791909
6,128,128,1.0,1e-05,465,0.007746458053588867,9.762069732913853e-06,6.417982996498649,0.06936607627687863
7,128,128,1.0,1e-05,1477,0.022780179977416992,9.969694348691688e-06,2.4235843156779238,0.2417841592602472
8,128,128,1.0,1e-05,1564,0.024092912673950195,9.978399470004715e-06,1.8770378144508084,0.3012623535129031
9,128,128,1.0,1e-05,1428,0.024118900299072266,9.975691516714291e-06,4.52185575490312,0.12476776744492746
0,128,128,0.9,1e-05,1421,0.02548503875732422,9.979548703362498e-06,2.4424378044694226,0.19252902585214304
1,128,128,0.9,1e-05,1631,0.028370141983032227,9.978375390466004e-06,2.1024448643827736,0.21742650598832203
2,128,128,0.9,1e-05,1737,0.029814958572387695,9.990235823091609e-06,2.2134208209955775,0.19964757148272216
3,128,128,0.9,1e-05,901,0.0177457332611084,9.989005614288726e-06,4.518020770343656,0.12335630803940756
4,128,128,0.9,1e-05,1709,0.03506779670715332,9.981339128285402e-06,2.740469392714713,0.15330867986998387
5,128,128,0.9,1e-05,1519,0.02724456787109375,9.971875674585906e-06,2.7858084685883497,0.1572083348259583
6,128,128,0.9,1e-05,510,0.009499311447143555,9.82608912795252e-06,6.399623458358278,0.05100653813650702
7,128,128,0.9,1e-05,1694,0.03253054618835449,9.975651765400939e-06,2.3747132369105457,0.19291308049286915
8,128,128,0.9,1e-05,1813,0.03519892692565918,9.979864483618608e-06,1.8169686291283855,0.2411931681904802
9,128,128,0.9,1e-05,1645,0.033182382583618164,9.975267061260867e-06,4.491659163169558,0.09457117571136564
0,128,128,0.8,1e-05,1609,0.02888798713684082,9.997768040143074e-06,2.396310840508545,0.1464020618912656
1,128,128,0.8,1e-05,1886,0.044913530349731445,9.986453124534445e-06,2.0522942580709147,0.16727589967646317
2,128,128,0.8,1e-05,2037,0.045015573501586914,9.975287942479497e-06,2.1642628541420725,0.15048960462921723
3,128,128,0.8,1e-05,1021,0.022576570510864258,9.998502464376308e-06,4.486149469658914,0.09148500735466492
4,128,128,0.8,1e-05,1964,0.03304934501647949,9.997591748358084e-06,2.7008263641920562,0.11366565134732731
5,128,128,0.8,1e-05,1750,0.03143620491027832,9.9789649988212e-06,2.7457670035418493,0.1171668697794579
6,128,128,0.8,1e-05,565,0.010345935821533203,9.996040116840368e-06,6.383107062178817,0.03449014195704603
7,128,128,0.8,1e-05,1972,0.039739131927490234,9.997467862293483e-06,2.3286300844034544,0.14682992798577787
8,128,128,0.8,1e-05,2134,0.03671145439147949,9.985361559133876e-06,1.7602658779167943,0.18449041697888902
9,128,128,0.8,1e-05,1920,0.03556537628173828,9.990293659126182e-06,4.463945456413462,0.0668574689552699
